revenue,profit,expenses,assets,growth_rate,new_customers,market_share,expansion_idx,cust_satisfaction,retention_rate,nps_score,support_rating,efficiency,uptime_pct,throughput,error_rate,overall_score,valuation,risk_index,random_metric
501.8,101.77,399.9,1003.94,5.55,199.62,15.46,48.73,78.86,86.51,53.73,7.3,64.14,96.69,301.74,3.23,71.99,805.29,60.07,35.2
486.16,92.91,389.64,984.52,4.72,200.47,16.05,50.82,72.25,75.53,47.88,1.32,63.52,98.27,308.48,0.08,62.54,793.6,55.13,24.57
502.53,104.03,406.69,1004.79,-0.03,196.5,13.01,45.06,72.49,75.5,47.76,1.09,51.71,87.69,291.23,9.61,62.39,801.89,55.78,27.09
503.12,100.29,402.71,1004.36,5.4,199.74,11.99,48.44,77.11,84.19,52.56,7.12,63.65,97.06,301.27,2.42,76.24,803.61,49.48,32.54
486.91,88.32,388.84,987.06,2.74,194.84,12.24,46.14,74.51,81.1,49.93,4.65,60.75,95.77,301.68,4.0,65.74,789.17,53.75,31.25
491.51,93.98,392.25,990.82,6.46,201.98,16.16,52.09,81.74,89.81,56.39,11.52,63.52,97.91,304.71,3.47,75.7,795.33,51.64,32.75
498.57,102.23,400.11,1001.06,9.81,204.98,18.0,51.26,80.7,87.78,54.39,9.58,60.32,95.84,297.98,4.24,76.81,802.47,55.41,22.89
490.73,94.71,394.53,990.47,8.32,204.0,17.82,53.04,76.35,83.62,52.8,8.06,55.49,93.89,296.11,6.4,69.34,801.32,58.56,27.48
495.29,97.42,395.28,997.34,3.09,191.54,11.8,48.2,75.4,81.48,50.4,2.7,67.1,100.79,311.66,-0.85,69.51,792.63,46.5,27.37
509.78,105.41,405.06,1009.66,1.61,195.87,11.5,46.91,74.84,79.77,49.82,5.11,53.86,91.43,293.72,9.13,68.96,803.01,45.16,23.87
506.96,105.14,407.73,1008.58,5.08,201.42,15.16,49.51,80.13,88.04,53.96,8.93,59.33,94.44,296.16,5.1,75.17,806.7,45.26,29.33
509.27,107.4,408.45,1010.38,0.2,198.19,13.3,48.2,71.21,74.83,46.31,-1.25,65.78,99.63,307.03,0.95,69.26,803.67,45.61,15.12
483.15,89.3,385.6,980.87,4.5,199.91,16.3,48.58,75.6,76.88,49.39,2.19,66.53,99.16,310.15,0.11,67.49,787.63,49.8,22.1
495.18,95.77,397.42,995.5,0.87,192.32,11.31,44.24,71.19,73.93,47.25,0.74,57.2,92.41,296.78,6.31,61.74,793.28,45.52,20.19
491.07,90.9,393.12,988.59,-3.35,188.59,8.39,42.77,70.25,72.79,45.61,-0.25,53.78,90.46,294.06,11.01,57.15,787.2,50.14,16.84
494.54,98.69,395.15,993.82,-1.92,194.31,9.87,44.23,76.16,80.7,51.31,4.53,59.13,94.57,302.34,5.66,67.31,789.99,46.19,22.3
497.51,96.89,398.82,995.36,13.05,208.86,21.35,56.79,74.8,79.3,50.13,3.87,62.19,96.1,302.14,4.62,74.35,798.34,44.58,14.48
494.63,94.65,395.86,993.6,-5.59,187.85,6.65,38.55,72.43,78.39,48.63,2.57,61.82,96.39,300.25,4.56,63.69,787.7,41.84,30.39
504.6,102.98,401.72,1004.13,0.37,191.96,10.79,45.06,77.36,80.8,51.6,5.52,53.79,90.55,293.55,10.54,72.02,798.68,47.84,23.19
503.28,101.16,402.73,1002.48,6.4,203.45,16.7,52.93,74.39,80.0,50.63,4.09,67.4,100.64,310.02,-1.15,75.31,806.12,45.64,21.03
496.58,97.12,396.24,996.44,-9.2,182.55,4.53,35.39,81.42,85.84,55.63,9.66,58.88,94.04,299.51,5.9,67.13,784.86,38.88,14.96
511.65,106.68,409.89,1014.1,9.96,206.09,20.64,57.62,74.86,82.18,50.13,4.67,55.53,90.33,295.32,8.71,73.74,811.19,57.83,27.22
495.9,98.03,395.14,996.21,-1.17,190.39,10.02,44.21,76.34,82.98,53.08,7.52,52.1,88.59,288.35,11.86,62.61,794.19,51.7,31.49
502.77,105.09,402.7,1002.9,14.23,213.17,22.24,59.94,76.32,80.41,50.34,4.52,50.41,88.46,289.68,9.93,72.35,809.82,55.87,20.79
498.17,99.04,400.82,1000.25,5.64,204.5,17.41,50.13,77.82,84.46,54.07,5.03,52.8,88.93,290.44,10.64,72.41,805.31,52.28,19.62
510.31,106.46,405.5,1010.97,12.52,208.76,22.02,55.65,81.33,87.62,55.83,9.75,56.78,93.44,298.61,6.58,80.7,808.8,55.73,27.29
512.92,110.99,412.34,1012.38,10.86,208.04,19.94,55.78,77.18,81.71,53.49,6.29,62.44,96.56,301.48,2.01,82.91,811.41,44.37,16.99
489.91,94.68,386.59,986.23,10.4,206.63,18.52,54.34,74.49,80.13,47.71,2.33,60.34,94.4,299.03,6.14,66.95,795.05,54.41,16.66
497.02,98.32,398.69,997.74,6.3,201.1,15.73,52.63,72.92,76.45,46.96,0.16,58.92,94.98,301.51,4.92,68.27,798.84,51.73,23.47
500.21,99.9,399.61,999.21,0.78,196.5,11.6,46.75,77.37,81.54,53.44,6.13,68.33,100.91,309.33,-0.99,74.69,794.97,40.15,19.95
508.2,105.89,408.47,1012.22,7.42,206.05,19.62,55.5,68.13,68.18,41.36,-5.23,58.32,93.81,293.78,7.15,63.99,805.34,50.88,27.71
505.75,105.89,406.26,1005.37,7.28,199.49,15.34,51.48,76.18,81.65,51.99,6.46,60.74,96.92,305.08,4.35,71.64,802.23,43.74,18.83
494.75,96.25,395.43,992.8,-1.29,194.06,10.53,44.29,74.57,78.55,48.96,3.6,60.56,94.14,299.89,5.68,64.18,791.31,49.56,22.72
495.57,93.02,395.7,994.84,10.92,202.38,17.78,55.83,77.13,83.64,53.5,5.79,65.14,99.15,307.67,-0.24,75.56,800.47,53.51,25.91
502.03,102.38,402.37,1002.55,7.93,204.19,16.57,53.73,77.55,81.78,52.8,6.58,59.36,92.48,296.86,6.43,71.8,806.44,58.65,31.34
513.41,108.68,411.97,1016.02,15.51,213.26,22.46,59.07,76.17,80.41,48.91,5.55,60.61,96.38,301.13,4.07,82.37,813.27,53.15,24.18
499.7,99.51,401.09,1000.84,7.62,205.97,18.15,52.04,74.34,78.84,49.79,3.29,59.97,94.15,299.05,5.1,69.57,805.92,57.9,34.73
502.14,102.95,400.03,1003.91,5.23,200.54,15.49,48.75,78.69,84.23,52.19,6.11,62.96,95.35,300.64,3.24,73.23,802.43,49.31,27.04
499.81,99.06,400.76,999.04,-1.19,192.66,8.68,44.59,75.52,80.65,50.22,3.83,56.0,92.95,292.66,8.89,65.74,796.69,48.18,34.11
491.84,92.56,393.92,989.7,11.7,205.82,17.06,54.55,76.89,81.62,51.56,6.5,60.37,96.34,298.88,3.96,71.8,798.47,52.84,25.58
502.3,101.44,401.21,1006.36,-5.23,186.72,6.91,41.81,73.12,74.72,47.98,0.66,60.56,94.99,298.11,4.9,61.23,794.64,46.46,25.92
498.13,100.2,400.42,999.62,-0.65,194.48,10.23,45.31,75.7,81.59,51.7,6.06,59.07,93.37,298.73,5.23,67.24,794.27,43.14,21.68
502.2,104.99,402.1,1006.77,4.24,197.25,14.25,51.52,78.47,84.88,53.98,8.31,63.42,96.15,302.23,2.58,80.05,799.95,49.26,39.44
503.08,103.95,403.27,999.73,0.31,194.56,10.18,43.28,72.99,78.18,46.45,1.09,55.57,91.11,290.53,9.38,64.14,797.35,61.67,37.17
489.06,92.33,392.6,991.13,2.65,199.55,14.0,48.79,73.44,76.39,49.52,3.34,58.85,93.89,296.56,6.17,64.0,794.33,50.79,20.07
484.32,88.54,387.32,979.73,0.2,191.83,10.72,47.78,70.03,73.41,45.54,-0.37,58.19,94.79,300.32,5.79,58.5,785.44,48.7,21.72
495.03,94.61,394.94,993.84,8.34,202.99,16.95,51.92,72.76,78.28,49.32,1.36,63.79,97.86,305.5,3.14,68.19,796.73,52.34,21.15
500.43,101.56,400.9,1001.69,-1.75,188.62,9.77,43.65,77.92,82.8,52.78,7.45,58.9,94.02,297.48,6.71,68.69,791.54,47.24,31.6
503.53,101.58,401.36,1002.44,4.1,197.2,13.5,49.04,75.82,81.45,50.09,2.92,58.26,94.33,295.86,5.47,69.52,805.6,55.87,30.41
508.25,104.55,406.5,1004.73,6.43,201.46,16.0,53.08,70.66,76.29,46.85,0.67,56.77,91.83,293.43,7.95,69.03,803.39,51.21,20.87
498.66,98.71,397.35,1000.97,7.0,203.14,16.37,51.27,72.39,75.91,47.27,1.43,64.18,99.02,306.79,-0.17,68.45,799.83,49.41,22.1
484.54,88.65,383.97,979.28,2.87,196.69,13.75,46.84,67.27,68.79,42.05,-3.22,57.38,92.19,297.81,7.2,54.41,788.35,54.04,25.73
494.39,95.77,394.26,991.41,5.57,197.8,13.37,50.62,72.42,79.64,48.99,2.69,57.39,93.07,299.26,7.59,64.95,795.57,57.86,28.47
508.91,106.84,407.59,1009.64,-1.07,191.59,11.65,41.74,79.32,85.68,53.64,7.61,53.65,90.16,292.94,10.3,71.27,798.72,43.19,23.21
512.99,108.32,413.65,1010.26,-4.36,185.35,5.96,40.9,78.21,83.85,52.28,6.09,53.6,90.64,293.62,9.25,70.39,800.22,42.98,29.95
498.6,95.78,399.95,997.94,13.0,210.43,20.75,58.21,71.41,74.44,47.07,2.88,59.84,95.18,299.48,5.53,67.44,805.05,58.03,22.64
498.1,99.07,398.65,997.61,1.59,195.15,11.93,45.19,75.26,80.18,49.1,3.23,61.44,94.62,299.84,5.53,68.62,798.29,52.05,27.98
490.68,97.42,394.37,989.74,2.88,196.35,13.12,48.46,75.4,83.18,50.73,4.56,60.51,93.92,299.35,7.19,67.05,793.75,49.23,20.34
499.64,103.31,400.98,1000.92,2.21,197.26,11.95,46.5,72.55,77.25,46.93,0.43,61.03,96.52,300.55,4.29,65.32,795.61,42.1,21.98
507.79,103.98,408.23,1011.14,6.85,201.57,16.21,51.31,71.33,76.27,46.02,-0.71,62.44,96.33,302.28,3.72,71.39,810.24,49.23,28.53
504.76,103.18,406.51,1008.18,10.45,205.33,19.04,58.25,73.95,79.4,49.31,3.15,57.62,92.71,298.16,7.2,71.62,808.92,51.28,23.57
491.31,91.46,390.5,988.23,0.26,194.65,12.02,46.85,76.29,79.96,52.18,4.75,59.46,95.0,300.48,5.24,65.62,794.69,45.88,24.45
494.86,95.5,393.69,993.52,7.67,202.21,15.97,49.29,73.74,76.04,49.26,1.8,56.99,92.37,294.76,7.96,67.82,797.02,54.2,22.38
497.14,98.43,397.97,992.24,-1.4,195.49,11.41,47.45,76.15,81.32,53.24,5.54,64.26,97.21,306.0,2.21,71.02,797.44,45.72,22.63
498.27,103.17,400.79,1001.72,6.73,202.99,16.46,51.81,72.89,80.61,50.06,3.19,64.72,97.56,303.79,1.5,75.43,808.64,55.14,29.13
500.37,101.65,400.63,1000.39,7.99,202.95,16.54,51.98,77.33,84.49,52.61,6.59,58.64,94.45,297.69,7.56,71.76,798.09,46.69,20.76
506.82,110.37,406.86,1010.66,-2.23,191.1,7.99,42.34,80.8,85.84,53.75,10.47,64.12,97.84,303.94,3.04,74.61,797.26,40.12,30.66
500.14,99.39,401.36,1002.37,13.62,211.11,20.98,58.07,71.42,75.94,47.69,0.48,56.05,91.93,292.84,10.2,68.1,804.48,55.09,23.84
497.71,98.62,395.36,995.83,-1.51,195.16,10.47,44.29,75.51,81.81,51.07,5.27,59.78,95.24,300.73,3.79,67.8,793.98,44.54,13.3
512.5,109.74,413.35,1015.7,-2.49,190.56,9.97,43.61,70.46,75.0,47.24,0.72,60.75,95.4,302.84,4.05,70.47,804.82,41.6,24.05
502.46,99.89,402.6,1005.4,2.02,196.27,11.31,47.08,71.91,75.87,46.62,0.62,57.97,93.26,293.97,7.19,65.15,799.16,47.63,24.4
506.04,102.85,404.5,1002.62,3.26,195.08,13.78,46.31,76.25,83.63,52.8,7.81,62.02,96.51,302.84,2.23,72.85,801.99,48.48,21.42
505.72,105.5,404.87,1010.06,9.73,205.68,17.97,54.05,76.32,83.42,52.9,6.36,56.64,92.61,297.09,6.39,78.76,804.55,48.2,24.97
484.88,93.2,385.71,986.6,5.53,201.72,15.95,50.31,74.06,77.87,47.31,3.13,60.76,96.88,302.28,3.17,63.98,790.85,54.77,33.14
488.59,90.73,388.8,988.35,-2.1,192.34,11.1,43.48,74.44,79.25,49.57,2.72,57.18,93.11,300.23,6.99,62.2,790.11,53.55,31.61
489.09,93.44,394.08,989.18,5.16,199.19,15.59,49.8,70.98,72.2,44.71,-0.91,51.0,88.38,289.56,11.21,57.42,792.41,62.54,20.95
488.89,94.26,388.28,992.42,1.6,196.19,12.75,48.49,70.63,74.98,46.42,1.15,54.6,90.47,291.12,8.67,57.4,789.66,54.35,15.14
496.07,98.73,396.69,996.09,10.55,208.12,19.9,54.0,74.84,81.84,50.63,4.91,58.12,94.77,297.93,5.63,73.01,803.5,56.6,29.87
510.47,107.93,407.64,1011.01,7.22,204.49,16.37,52.8,75.46,77.55,48.77,4.18,65.92,98.48,305.67,1.88,72.38,807.21,55.52,31.89
505.01,104.27,404.44,1005.03,11.66,211.23,22.07,59.15,77.45,84.37,52.18,8.1,64.2,98.03,303.9,0.65,78.41,805.78,47.04,21.1
493.14,92.28,391.61,986.72,7.5,200.63,15.83,49.25,69.74,73.06,43.38,-1.7,57.59,93.37,298.78,6.99,59.43,793.38,57.76,36.69
494.88,95.95,397.29,995.19,8.13,201.48,17.91,51.27,70.87,73.33,47.08,0.44,57.67,93.02,296.8,6.67,61.07,801.45,60.31,29.7
502.04,102.76,402.27,1002.39,5.84,201.17,16.13,48.94,80.39,85.57,55.24,9.11,64.84,97.99,307.18,1.3,79.1,801.87,41.79,25.35
510.57,109.15,408.15,1010.45,2.21,196.73,12.54,48.43,73.64,79.98,48.98,5.51,60.35,95.82,302.51,4.45,72.12,808.01,49.02,29.84
490.58,91.54,394.53,991.27,6.87,200.7,16.71,53.05,77.99,84.17,51.71,7.04,63.48,97.9,304.39,2.16,73.01,795.52,49.98,20.39
508.91,107.18,407.97,1009.37,0.04,197.6,12.71,46.93,77.72,83.84,53.89,6.77,62.06,96.15,302.4,4.72,76.94,801.32,37.51,17.05
504.62,102.78,404.98,1000.86,7.42,199.57,14.58,49.8,73.12,80.16,48.26,3.32,56.84,91.98,296.99,7.34,67.21,804.58,49.72,16.68
489.5,90.71,388.51,985.88,12.86,210.04,20.79,59.8,71.99,75.24,47.86,0.77,57.76,92.95,296.69,7.98,63.56,802.41,64.28,28.21
503.74,101.31,404.7,1002.72,9.52,205.69,17.61,54.45,79.94,87.07,53.82,8.92,59.87,93.94,299.03,5.47,80.43,806.46,45.69,25.18
506.61,105.57,406.78,1010.68,8.65,207.76,18.97,55.2,74.69,79.8,49.35,3.16,56.41,91.39,294.94,7.99,72.92,809.47,59.98,33.56
504.56,104.61,403.0,1001.63,-2.83,193.66,8.91,42.47,78.11,83.63,51.83,6.29,53.79,91.11,293.48,8.58,66.51,793.72,45.45,25.37
491.23,91.94,390.68,991.48,-0.84,196.91,12.11,46.32,74.27,77.31,47.64,1.39,56.14,92.59,294.33,6.75,59.65,792.42,54.9,30.93
502.48,101.43,401.89,1000.71,8.55,203.76,19.17,54.46,78.43,85.54,52.49,6.77,57.09,94.28,299.19,5.32,76.28,804.79,50.2,24.74
504.08,106.06,403.53,1006.28,13.61,212.8,21.26,59.54,77.69,83.1,52.76,8.16,66.22,98.82,305.84,1.62,82.37,809.05,53.6,27.41
507.33,107.29,407.69,1008.6,-5.61,188.68,6.97,41.95,78.04,84.12,52.5,7.4,61.76,95.89,303.02,4.25,70.93,795.65,43.09,20.46
496.29,96.91,396.18,997.79,4.37,196.4,13.45,48.1,75.14,82.3,51.62,5.22,64.86,96.69,305.36,2.06,68.93,795.63,41.57,15.55
503.45,99.38,400.13,1000.46,2.5,196.62,12.7,46.08,71.37,76.52,45.88,1.68,61.29,96.73,302.6,4.2,67.8,794.09,47.12,22.71
495.79,94.82,394.2,996.18,0.37,196.49,10.86,46.07,76.18,80.97,50.66,5.63,58.0,94.55,297.41,4.29,66.12,793.32,44.12,21.82
494.41,97.11,393.76,986.44,4.38,200.66,13.28,48.33,76.75,82.1,51.63,5.7,53.87,92.24,293.95,9.89,68.73,795.32,56.1,24.73
493.84,95.85,395.3,989.74,20.76,216.92,26.88,63.27,72.21,76.13,47.26,1.0,57.53,93.77,293.85,6.81,65.78,806.49,62.99,27.82
492.26,91.8,392.48,992.61,8.97,207.95,19.61,54.05,80.96,87.83,56.5,10.17,58.32,93.4,296.86,6.13,72.35,797.22,54.22,19.69
494.96,100.03,393.83,997.23,5.24,198.74,15.64,48.52,79.45,85.54,54.24,8.21,64.21,98.05,306.57,1.9,74.45,797.65,44.83,14.49
512.23,110.25,412.92,1010.46,11.85,205.02,19.95,55.82,75.95,81.7,51.78,6.3,57.28,93.51,294.86,6.4,74.92,812.73,51.85,28.39
493.73,96.47,392.3,993.18,6.61,203.69,16.51,52.4,75.31,80.07,49.07,2.31,51.93,88.21,288.44,11.37,61.85,799.2,62.65,33.68
501.05,98.67,399.18,1002.09,9.36,206.58,19.38,56.38,72.91,79.36,49.64,3.28,60.86,95.18,300.33,5.16,71.29,807.11,57.75,28.92
502.98,100.97,403.14,1001.93,5.34,202.78,16.42,52.15,83.27,91.14,59.17,13.12,59.17,94.43,298.69,4.09,83.02,804.94,49.34,22.27
512.49,109.69,411.01,1015.38,1.16,196.0,10.23,45.45,72.06,77.62,47.41,0.45,54.62,91.5,293.22,9.22,71.14,806.58,50.96,30.09
504.42,103.84,404.1,1007.0,8.81,203.33,17.91,54.32,71.19,73.16,46.72,1.02,63.97,98.23,307.18,2.56,71.43,805.23,56.98,31.68
498.77,98.89,399.13,995.59,5.63,202.12,14.86,51.14,76.85,82.69,51.96,6.63,61.34,96.83,300.61,4.02,75.8,803.17,50.38,26.49
492.34,92.47,392.4,990.6,3.13,198.98,13.6,50.21,71.81,75.6,47.06,0.22,62.63,97.37,301.17,2.66,62.66,797.57,54.16,27.38
500.18,102.03,398.4,999.21,7.36,203.39,14.92,51.8,69.8,73.48,45.39,-1.35,63.09,97.99,305.06,3.0,65.94,799.41,50.59,22.88
501.09,98.11,399.91,1000.67,10.07,205.61,19.22,54.18,74.31,74.54,48.02,1.94,64.48,98.13,306.02,0.93,72.73,804.03,49.48,29.71
501.24,100.55,401.23,1003.42,6.12,203.54,16.45,52.43,71.01,76.04,45.83,2.21,61.84,96.24,301.89,2.71,68.16,801.53,51.25,24.91
507.1,104.66,406.35,1009.14,1.63,199.51,15.28,48.07,74.17,78.12,47.61,2.65,62.51,96.14,302.18,4.13,73.61,804.01,47.25,30.39
489.74,92.64,393.03,990.28,4.55,200.0,13.69,48.72,77.54,83.41,53.6,9.45,60.52,94.23,298.81,6.33,68.76,793.36,45.78,19.15
506.24,104.7,404.89,1004.83,-4.3,189.57,7.9,39.2,68.71,70.63,43.77,-3.55,59.67,95.88,301.52,4.15,61.17,796.55,46.49,14.14
503.28,102.79,401.98,1002.94,1.16,193.7,11.64,45.3,73.69,79.32,49.23,2.86,53.91,90.8,291.65,8.91,64.35,799.25,50.25,30.6
485.04,89.71,390.33,981.29,6.04,198.15,14.03,47.02,74.92,80.62,51.04,3.46,51.97,89.54,291.02,10.42,61.01,792.48,53.17,16.73
506.59,106.6,408.36,1007.03,12.28,209.93,21.19,57.57,69.57,74.42,46.09,-0.48,62.16,96.29,301.62,5.78,71.32,808.58,48.77,23.33
490.72,92.56,390.55,990.69,14.81,209.07,22.58,55.9,78.14,82.65,51.21,6.07,57.96,92.0,296.13,7.2,72.68,800.64,60.23,31.45
505.5,103.27,402.46,1007.65,7.24,201.82,16.06,51.11,79.54,88.21,57.07,11.91,64.32,96.92,303.79,2.61,79.42,796.74,31.77,5.05
495.31,97.89,396.09,999.57,1.14,195.1,12.48,45.06,74.34,78.77,48.86,3.64,60.43,95.6,301.22,6.13,67.13,794.81,45.81,25.42
490.62,95.12,391.89,987.8,11.33,208.35,21.54,57.86,77.21,83.62,52.96,5.46,57.49,92.65,296.21,7.25,69.74,799.22,60.47,23.5
505.93,103.48,404.75,1005.01,12.81,208.38,20.26,56.93,71.6,76.43,47.38,2.56,63.49,97.71,303.52,2.07,70.99,808.0,48.68,26.62
507.9,107.59,408.25,1009.92,4.54,197.57,13.7,48.84,67.97,70.03,43.65,-4.3,60.55,95.85,297.35,4.86,66.52,802.38,42.29,13.02
498.02,98.77,399.8,999.99,4.92,200.41,14.11,49.11,73.03,79.32,49.86,3.09,52.67,89.81,294.13,9.5,63.95,800.06,50.96,24.63
492.85,96.51,394.19,992.78,4.16,196.97,13.25,48.17,77.64,86.27,53.85,8.74,62.05,97.77,302.31,4.89,74.08,791.95,47.32,19.86
508.67,108.88,410.08,1010.89,-0.66,192.11,11.0,41.99,78.92,82.22,52.65,8.34,59.31,94.21,297.23,7.28,74.06,800.81,44.14,19.02
504.53,104.06,405.15,1005.75,2.23,195.07,12.8,47.03,77.5,83.62,52.44,7.77,60.51,94.57,298.59,5.13,70.69,803.44,54.85,28.68
496.64,95.71,397.32,994.0,11.78,208.06,20.11,55.71,77.19,80.47,52.42,4.62,54.41,91.71,295.69,8.93,71.1,802.26,61.8,37.19
491.62,92.21,391.38,993.6,-7.44,185.01,7.06,37.96,77.89,83.91,52.74,7.49,63.5,98.82,304.25,2.09,64.94,788.24,45.1,27.45
497.39,98.86,397.23,994.2,12.51,209.64,21.19,57.41,78.07,81.48,52.75,6.2,56.5,92.81,295.06,7.23,74.68,805.26,58.91,25.29
489.98,94.66,389.58,986.63,1.29,197.09,12.05,47.38,71.1,75.59,47.28,-1.62,50.24,88.3,288.61,11.19,55.78,794.35,50.99,17.69
510.4,105.1,408.19,1011.18,-0.59,194.16,9.85,44.59,74.28,76.82,48.34,3.17,54.83,92.4,293.29,8.35,67.32,802.88,49.95,34.4
499.23,99.21,401.92,1000.76,7.46,203.57,18.03,53.54,74.11,78.79,49.39,6.06,55.04,91.14,295.45,7.16,68.13,798.57,49.64,20.54
506.31,105.63,407.55,1007.12,5.44,198.66,15.09,49.65,78.52,82.37,52.19,6.41,48.08,85.39,282.41,13.13,69.22,803.24,58.63,32.29
495.99,98.31,394.2,995.21,15.93,215.72,23.05,61.83,73.53,76.89,48.44,0.91,59.86,95.82,297.54,3.84,70.87,805.45,60.44,28.73
492.54,95.15,393.7,994.81,10.23,205.04,18.52,54.59,72.93,77.74,47.8,3.44,65.78,98.28,305.56,0.6,67.11,802.87,56.52,29.25
503.35,104.31,401.55,1005.24,1.76,197.9,11.82,45.56,75.9,79.55,50.34,3.11,60.35,95.73,302.64,6.33,69.16,798.76,37.72,20.33
496.96,97.08,396.7,996.65,6.68,207.7,20.88,55.16,70.32,74.52,46.35,2.21,66.04,99.34,306.79,0.87,69.9,806.47,49.55,20.78
503.52,104.13,402.14,1000.89,-2.14,194.47,9.47,45.06,76.13,82.8,52.6,6.61,63.49,96.18,301.55,4.51,68.74,800.64,47.93,30.83
511.34,106.67,410.14,1011.61,10.97,209.32,19.56,57.43,76.45,82.76,49.87,5.5,56.11,91.24,292.51,7.84,76.09,815.24,59.94,31.58
489.3,88.58,390.46,989.61,1.78,196.65,13.89,48.43,77.14,80.88,51.71,5.27,63.05,95.59,302.98,4.32,68.97,792.44,58.12,29.49
499.6,101.1,400.62,999.12,-4.18,190.13,6.31,39.36,74.8,76.33,48.83,3.17,59.98,95.25,301.64,4.25,62.39,794.07,43.72,23.29
510.41,105.77,412.28,1012.6,4.7,199.18,13.93,50.66,71.7,75.45,45.17,-1.2,63.0,96.49,302.15,2.94,68.13,807.14,42.46,15.49
513.35,108.44,411.15,1013.59,6.75,202.21,15.96,53.58,70.8,73.9,46.14,0.6,63.14,99.17,305.69,1.23,75.35,813.59,58.05,40.69
483.22,88.04,385.91,983.63,7.86,206.32,18.29,53.04,75.33,80.99,51.8,6.05,60.88,96.0,300.07,4.98,68.43,793.54,56.5,23.33
503.16,103.41,403.37,1001.35,2.04,196.83,11.38,47.67,79.78,85.76,53.93,9.36,54.51,91.75,293.11,6.38,69.9,803.19,56.5,38.02
513.31,111.6,410.24,1015.53,-0.17,191.59,10.73,45.35,75.75,81.88,51.67,4.18,65.21,99.62,307.29,1.38,75.5,798.93,38.04,19.51
496.56,99.86,400.77,996.41,3.98,195.42,12.82,47.86,78.85,86.08,53.25,7.75,57.39,93.34,295.21,6.5,70.83,793.51,49.46,24.7
503.63,102.78,403.71,1008.14,3.43,196.73,14.21,50.8,72.18,76.61,46.71,0.68,55.18,91.15,293.56,8.77,67.42,798.96,46.44,18.48
489.43,91.91,390.29,989.93,-3.43,188.39,7.77,40.81,73.07,77.37,48.1,2.88,61.45,96.46,299.71,3.65,61.91,786.53,48.85,20.73
494.0,97.59,393.22,991.11,1.59,193.9,10.18,44.08,72.44,77.09,45.3,0.82,53.83,91.79,293.07,9.81,58.53,789.91,44.87,22.87
506.8,103.71,403.63,1011.34,-2.61,191.74,10.16,43.49,74.44,82.21,49.12,4.5,56.91,93.07,297.37,5.52,68.56,802.68,54.76,41.59
486.3,89.98,386.22,982.18,6.3,201.88,15.92,48.87,74.66,77.57,49.97,4.88,58.36,92.6,296.77,5.96,62.03,796.72,55.37,27.96
501.06,101.73,400.53,1003.02,-0.38,191.95,10.01,45.2,75.1,82.55,49.76,6.62,60.46,96.89,304.47,3.62,72.71,798.19,50.92,37.69
494.85,97.73,394.8,997.69,11.77,210.53,21.06,58.15,72.83,79.18,49.82,3.83,51.57,89.58,289.82,10.04,67.02,803.24,61.05,22.47
500.32,98.57,399.12,1001.95,0.26,195.2,11.06,44.85,76.56,85.39,53.09,7.11,58.11,93.14,297.89,5.6,70.34,798.01,51.39,32.63
499.98,100.09,397.59,997.76,8.67,206.34,17.96,54.0,77.08,82.35,52.29,4.66,61.13,97.32,303.71,3.09,74.95,800.71,45.57,20.72
506.61,107.48,406.18,1006.81,5.11,199.81,15.69,50.95,80.27,88.71,56.83,10.33,62.94,96.12,303.99,3.65,81.51,805.91,48.8,22.01
492.57,95.51,393.35,990.68,0.49,195.94,13.56,46.52,75.76,78.54,51.64,5.36,52.89,90.49,294.18,7.15,63.75,794.06,45.91,21.63
499.03,97.18,400.79,1000.3,3.96,201.09,14.17,47.53,75.45,80.89,50.54,4.56,64.56,98.27,305.83,2.48,72.3,800.16,45.54,19.83
504.02,104.67,404.96,1003.53,3.02,201.58,14.73,48.77,74.5,78.55,49.49,3.61,59.48,95.19,301.63,3.25,72.97,800.26,39.32,17.31
500.75,101.63,399.62,1001.33,2.45,195.76,12.18,47.32,72.9,75.64,47.55,0.46,50.9,89.62,290.47,9.88,60.93,798.0,51.15,26.55
485.15,88.13,388.06,987.05,9.27,204.47,18.5,53.74,73.19,79.14,49.28,2.5,54.32,91.31,292.03,9.33,62.0,794.39,57.16,21.76
506.37,103.1,405.99,1005.33,3.82,195.48,11.2,47.96,73.15,82.71,50.02,3.81,57.65,94.25,299.3,5.91,68.7,799.85,47.69,26.7
485.92,89.49,389.13,987.26,4.8,199.2,15.34,47.49,72.92,76.95,47.97,2.59,72.91,104.9,317.18,-4.15,69.39,789.93,47.41,22.61
496.97,98.77,396.23,998.53,10.6,205.29,18.35,56.84,73.71,81.2,50.92,3.92,61.28,95.68,299.82,4.99,69.78,800.62,52.15,21.43
514.94,111.78,411.92,1015.47,3.82,195.93,12.07,46.71,75.22,80.64,50.83,6.06,64.96,98.25,304.87,0.97,75.0,802.88,39.5,24.4
500.39,99.2,400.12,1001.03,8.6,203.14,17.66,53.2,75.67,83.92,52.44,6.44,56.23,92.4,292.63,10.17,70.15,800.42,52.15,22.04
492.47,93.53,391.82,992.88,-0.78,193.85,13.72,46.83,72.87,77.61,48.2,2.6,65.03,98.75,306.33,0.9,65.3,796.23,53.34,33.36
